data,chuva_mm
2016-11-06,0.00
2016-11-07,0.00
2016-11-08,0.00
2016-11-09,0.00
2016-11-10,0.00
2016-11-11,1.00
2016-11-12,0.00
2016-11-13,0.20
2016-11-14,0.00
2016-11-15,0.00
2016-11-16,5.20
2016-11-17,0.00
2016-11-18,0.00
2016-11-19,0.00
2016-11-20,0.00
2016-11-21,0.00
2016-11-22,0.00
2016-11-23,0.00
2016-11-24,0.00
2016-11-25,0.00
2016-11-26,0.00
2016-11-27,17.00
2016-11-28,52.20
2016-11-29,2.60
2016-11-30,0.00
2016-12-01,0.00
2016-12-02,0.00
2016-12-03,24.80
2016-12-04,0.00
2016-12-05,0.00
2016-12-06,0.00
2016-12-07,0.20
2016-12-08,2.60
2016-12-09,25.00
2016-12-10,28.20
2016-12-11,4.20
2016-12-12,2.80
2016-12-13,0.00
2016-12-14,0.00
2016-12-15,0.00
2016-12-16,0.00
2016-12-17,0.00
2016-12-18,0.00
2016-12-19,10.60
2016-12-20,8.40
2016-12-21,4.80
2016-12-22,0.20
2016-12-23,1.00
2016-12-24,0.20
2016-12-25,0.00
2016-12-26,0.00
2016-12-27,0.00
2016-12-28,41.80
2016-12-29,0.00
2016-12-30,0.20
2016-12-31,20.20
2017-01-01,23.40
2017-01-02,8.20
2017-01-03,0.20
2017-01-04,2.00
2017-01-05,38.40
2017-01-06,44.40
2017-01-07,0.20
2017-01-08,0.00
2017-01-09,0.00
2017-01-10,0.00
2017-01-11,0.60
2017-01-12,14.80
2017-01-13,0.00
2017-01-14,0.00
2017-01-15,0.00
2017-01-16,5.00
2017-01-17,3.60
2017-01-18,32.40
2017-01-19,1.00
2017-01-20,0.20
2017-01-21,0.00
2017-01-22,6.60
2017-01-23,23.60
2017-01-24,0.00
2017-01-25,32.60
2017-01-26,0.20
2017-01-27,0.00
2017-01-28,4.40
2017-01-29,8.80
2017-01-30,10.00
2017-01-31,0.20
2017-02-01,0.20
2017-02-02,0.40
2017-02-03,3.60
