Mes,Dia,Hora,etp
02,08,16,0.39818
02,08,17,0.29273
02,08,18,0.15909
02,08,19,0.00000
02,08,20,0.00000
02,08,21,0.00000
02,08,22,0.00000
02,08,23,0.00000
02,09,00,0.00000
02,09,01,0.00000
02,09,02,0.00000
02,09,03,0.00000
02,09,04,0.00000
02,09,05,0.00000
02,09,06,0.00000
02,09,07,0.14000
02,09,08,0.25727
02,09,09,0.35091
02,09,10,0.41909
02,09,11,0.46727
02,09,12,0.49000
02,09,13,0.49000
02,09,14,0.46727
02,09,15,0.41909
02,09,16,0.35091
02,09,17,0.25727
02,09,18,0.14000
02,09,19,0.00000
02,09,20,0.00000
02,09,21,0.00000
02,09,22,0.00000
02,09,23,0.00000
02,10,00,0.00000
02,10,01,0.00000
02,10,02,0.00000
02,10,03,0.00000
02,10,04,0.00000
02,10,05,0.00000
02,10,06,0.00000
02,10,07,0.11364
02,10,08,0.20636
02,10,09,0.27818
02,10,10,0.33727
02,10,11,0.37182
02,10,12,0.39182
02,10,13,0.39182
02,10,14,0.37182
02,10,15,0.33727
02,10,16,0.27818
02,10,17,0.20636
02,10,18,0.11364
02,10,19,0.00000
02,10,20,0.00000
02,10,21,0.00000
02,10,22,0.00000
02,10,23,0.00000
02,11,00,0.00000
02,11,01,0.00000
02,11,02,0.00000
02,11,03,0.00000
02,11,04,0.00000
02,11,05,0.00000
02,11,06,0.00000
02,11,07,0.14000
02,11,08,0.25818
02,11,09,0.35000
02,11,10,0.41909
02,11,11,0.46727
02,11,12,0.48727
02,11,13,0.48727
02,11,14,0.46727
02,11,15,0.41909
02,11,16,0.35000
02,11,17,0.25818
02,11,18,0.14000
02,11,19,0.00000
02,11,20,0.00000
02,11,21,0.00000
02,11,22,0.00000
02,11,23,0.00000
02,12,00,0.00000
02,12,01,0.00000
02,12,02,0.00000
02,12,03,0.00000
02,12,04,0.00000
02,12,05,0.00000
02,12,06,0.00000
02,12,07,0.12273
02,12,08,0.22364
02,12,09,0.30545
02,12,10,0.36727
02,12,11,0.40727
02,12,12,0.42727
02,12,13,0.42727
02,12,14,0.40727
02,12,15,0.36727
02,12,16,0.30545
02,12,17,0.22364
02,12,18,0.12273
02,12,19,0.00000
02,12,20,0.00000
02,12,21,0.00000
02,12,22,0.00000
02,12,23,0.00000
02,13,00,0.00000
02,13,01,0.00000
02,13,02,0.00000
02,13,03,0.00000
02,13,04,0.00000
02,13,05,0.00000
02,13,06,0.00000
02,13,07,0.11000
02,13,08,0.20182
02,13,09,0.27636
02,13,10,0.33000
02,13,11,0.36727
02,13,12,0.38727
02,13,13,0.38727
02,13,14,0.36727
02,13,15,0.33000
02,13,16,0.27636
02,13,17,0.20182
02,13,18,0.11000
02,13,19,0.00000
02,13,20,0.00000
02,13,21,0.00000
02,13,22,0.00000
02,13,23,0.00000
02,14,00,0.00000
02,14,01,0.00000
02,14,02,0.00000
02,14,03,0.00000
02,14,04,0.00000
02,14,05,0.00000
02,14,06,0.00000
02,14,07,0.12636
02,14,08,0.23455
02,14,09,0.32000
02,14,10,0.38364
02,14,11,0.42545
02,14,12,0.44545
02,14,13,0.44545
02,14,14,0.42545
02,14,15,0.38364
02,14,16,0.32000
02,14,17,0.23455
02,14,18,0.12636
02,14,19,0.00000
02,14,20,0.00000
02,14,21,0.00000
02,14,22,0.00000
02,14,23,0.00000
02,15,00,0.00000
02,15,01,0.00000
02,15,02,0.00000
02,15,03,0.00000
02,15,04,0.00000
02,15,05,0.00000
02,15,06,0.00000
02,15,07,0.12000
02,15,08,0.21818
02,15,09,0.30000
02,15,10,0.36000
02,15,11,0.40000
02,15,12,0.42000
02,15,13,0.42000
02,15,14,0.40000
02,15,15,0.36000
02,15,16,0.30000
02,15,17,0.21818
02,15,18,0.12000
02,15,19,0.00000
02,15,20,0.00000
02,15,21,0.00000
02,15,22,0.00000
02,15,23,0.00000
02,16,00,0.00000
02,16,01,0.00000
02,16,02,0.00000
02,16,03,0.00000
02,16,04,0.00000
02,16,05,0.00000
02,16,06,0.00000
02,16,07,0.12727
02,16,08,0.23091
02,16,09,0.31545
02,16,10,0.37545
02,16,11,0.42091
02,16,12,0.44091
02,16,13,0.44091
02,16,14,0.42091
02,16,15,0.37545
02,16,16,0.31545
02,16,17,0.23091
02,16,18,0.12727
02,16,19,0.00000
02,16,20,0.00000
02,16,21,0.00000
02,16,22,0.00000
02,16,23,0.00000
02,17,00,0.00000
02,17,01,0.00000
02,17,02,0.00000
02,17,03,0.00000
02,17,04,0.00000
02,17,05,0.00000
02,17,06,0.00000
02,17,07,0.11818
02,17,08,0.21727
02,17,09,0.29545
02,17,10,0.35455
02,17,11,0.39364
02,17,12,0.41455
02,17,13,0.41455
02,17,14,0.39364
02,17,15,0.35455
02,17,16,0.29545
02,17,17,0.21727
02,17,18,0.11818
02,17,19,0.00000
02,17,20,0.00000
02,17,21,0.00000
02,17,22,0.00000
02,17,23,0.00000
02,18,00,0.00000
02,18,01,0.00000
02,18,02,0.00000
02,18,03,0.00000
02,18,04,0.00000
02,18,05,0.00000
02,18,06,0.00000
02,18,07,0.13909
02,18,08,0.25364
02,18,09,0.34545
02,18,10,0.41364
02,18,11,0.46273
02,18,12,0.48545
02,18,13,0.48545
02,18,14,0.46273
02,18,15,0.41364
02,18,16,0.34545
02,18,17,0.25364
02,18,18,0.13909
02,18,19,0.00000
02,18,20,0.00000
02,18,21,0.00000
02,18,22,0.00000
02,18,23,0.00000
02,19,00,0.00000
02,19,01,0.00000
02,19,02,0.00000
02,19,03,0.00000
02,19,04,0.00000
02,19,05,0.00000
02,19,06,0.00000
02,19,07,0.11818
02,19,08,0.21727
02,19,09,0.29545
02,19,10,0.35545
02,19,11,0.39455
02,19,12,0.41364
02,19,13,0.41364
02,19,14,0.39455
02,19,15,0.35545
02,19,16,0.29545
02,19,17,0.21727
02,19,18,0.11818
02,19,19,0.00000
02,19,20,0.00000
02,19,21,0.00000
02,19,22,0.00000
02,19,23,0.00000
02,20,00,0.00000
02,20,01,0.00000
02,20,02,0.00000
02,20,03,0.00000
02,20,04,0.00000
02,20,05,0.00000
02,20,06,0.00000
02,20,07,0.15727
02,20,08,0.29091
02,20,09,0.39636
02,20,10,0.47545
02,20,11,0.52909
02,20,12,0.55364
02,20,13,0.55364
02,20,14,0.52909
02,20,15,0.47545
02,20,16,0.39636
02,20,17,0.29091
02,20,18,0.15727
02,20,19,0.00000
02,20,20,0.00000
02,20,21,0.00000
02,20,22,0.00000
02,20,23,0.00000
02,21,00,0.00000
02,21,01,0.00000
02,21,02,0.00000
02,21,03,0.00000
02,21,04,0.00000
02,21,05,0.00000
02,21,06,0.00000
02,21,07,0.14727
02,21,08,0.26909
02,21,09,0.36818
02,21,10,0.44091
02,21,11,0.48909
02,21,12,0.51455
02,21,13,0.51455
02,21,14,0.48909
02,21,15,0.44091
02,21,16,0.36818
02,21,17,0.26909
02,21,18,0.14727
02,21,19,0.00000
02,21,20,0.00000
02,21,21,0.00000
02,21,22,0.00000
02,21,23,0.00000
02,22,00,0.00000
02,22,01,0.00000
02,22,02,0.00000
02,22,03,0.00000
02,22,04,0.00000
02,22,05,0.00000
02,22,06,0.00000
02,22,07,0.13636
02,22,08,0.24818
02,22,09,0.34091
02,22,10,0.40818
02,22,11,0.45091
02,22,12,0.47636
02,22,13,0.47636
02,22,14,0.45091
02,22,15,0.40818
02,22,16,0.34091
